lon,lat,city
118.765196,30.946576,宣城
103.04636,30.021277,雅安
129.515602,42.897211,延边
119.419107,32.39986,扬州
111.989051,21.864421,阳江
113.587087,37.86234,阳泉
108.085304,34.273949,杨凌
128.84704,47.733329,伊春
81.330697,43.922815,伊犁
112.361677,28.559818,益阳
117.075765,28.265879,鹰潭
122.241475,40.672565,营口
111.618703,26.426612,永州
110.18743,22.660656,玉林
97.01308,33.011061,玉树
102.5537,24.357512,玉溪
113.135679,29.363262,岳阳
112.051045,22.921154,云浮
117.328513,34.816569,枣庄
100.456221,38.932187,张掖
117.653827,24.519197,漳州
103.723311,27.344057,昭通
112.47177,23.052984,肇庆
119.431494,32.195688,镇江
113.399023,22.522262,中山
105.203332,37.506058,中卫
114.703433,33.631958,周口
113.140431,27.833737,株洲
114.029465,33.017546,驻马店
104.634415,30.134846,资阳
118.061254,36.819182,淄博
104.784891,29.345379,自贡
80.269807,41.173789,阿克苏
117.070127,30.548594,安庆
105.952622,26.259904,安顺
123.000974,41.114122,鞍山
109.846755,40.663636,包头
109.126614,21.486955,北海
116.413554,39.911013,北京
111.704994,29.037723,常德
120.302522,41.373461,朝阳
104.071216,30.576279,成都
117.497839,30.67098,池州
118.895463,42.264586,赤峰
106.557165,29.570997,重庆
100.236278,25.597589,大理
121.621391,38.919345,大连
125.109727,46.593216,大庆
113.306446,40.082539,大同
124.362564,40.00569,丹东
99.70948,27.825264,迪庆
118.588614,37.454925,东营
109.787314,39.61463,鄂尔多斯
109.494763,30.277908,恩施
119.302938,26.080447,福州
115.821389,32.895879,阜阳
114.94126,25.837179,赣州
106.24917,36.021609,固原
113.270793,23.135308,广州
106.636816,26.652747,贵阳
110.296442,25.279893,桂林
126.542417,45.807782,哈尔滨
110.206424,20.050057,海口
114.545808,36.631222,邯郸
107.030197,33.07382,汉中
120.161693,30.280059,杭州
117.235447,31.82687,合肥
112.578397,26.899517,衡阳
111.758518,40.847461,呼和浩特
110.008116,27.575595,怀化
119.022429,33.616272,淮安
118.176924,30.134073,黄山
114.423348,23.116409,惠州
117.001319,36.671627,济南
130.32696,46.806581,佳木斯
116.37922,23.555773,揭阳
121.133631,41.100869,锦州
117.184967,29.274337,景德镇
76.000323,39.473669,喀什
102.839667,24.885953,昆明
91.121025,29.650088,拉萨
103.840692,36.067312,兰州
100.23357,26.862521,丽江
119.229571,34.602342,连云港
118.36299,35.110531,临沂
109.42198,24.331519,柳州
105.449092,28.877577,泸州
112.460033,34.624376,洛阳
104.686164,31.473364,绵阳
129.638976,44.558647,牡丹江
115.864528,28.687675,南昌
106.117231,30.843297,南充
118.802891,32.064735,南京
108.373351,22.823037,南宁
112.535009,32.996701,南阳
100.965294,22.76454,普洱
120.389445,36.072358,青岛
107.649305,35.716096,庆阳
109.518646,18.258217,三亚
118.095915,24.485821,厦门
121.480237,31.236305,上海
114.066112,22.548515,深圳
123.438973,41.811339,沈阳
114.520828,38.048684,石家庄
112.55706,37.876885,太原
118.187036,39.636673,唐山
117.205914,39.090908,天津
122.251207,43.658363,通辽
122.128245,37.519322,威海
120.705869,28.001095,温州
106.80185,39.660154,乌海
87.623314,43.832806,乌鲁木齐
114.311831,30.598428,武汉
108.946306,34.347436,西安
101.784269,36.623477,西宁
100.803836,22.013792,西双版纳
112.250093,32.229169,襄阳
121.454425,37.469868,烟台
109.496361,36.591003,延安
120.168187,33.355301,盐城
104.648103,28.75761,宜宾
111.292971,30.697602,宜昌
114.422683,27.820089,宜春
106.238976,38.492392,银川
109.741195,38.290886,榆林
111.013379,35.032587,运城
110.365494,21.277163,湛江
110.484925,29.122477,张家界
114.894165,40.830172,张家口
125.33017,43.82178,长春
112.945333,28.233971,长沙
113.123046,36.201585,长治
113.631349,34.753488,郑州
122.214339,29.991092,舟山
113.583235,22.276392,珠海
106.933658,27.731749,遵义
